NAME,AFFGEOID,FIPS3,ALAND,AWATER,TotPop,Births,Deaths,NetMigrt,NatInc,MedHInc,TotVote,PCTOBM,PCTROM,PCTOTH,Winner,TotU18,Tot18_64,TotOv65,TotMale,TotFemale,TotOv25,NumHS,NumBach,Hisp,NumPov,PctPov,CentX,CentY,Region
Huerfano,0500000US08055,8055,4120807998,5792101,6474,55,103,96,-48,32932,3613,54.0548021,45.5577083,0.003874896,Obama,1065,3475,1636,2963,3213,4698,1297,1429,2169,1224,0.189063948,503478.95,4170829.831,Mountain
Jackson,0500000US08057,8057,4179536193,18750017,1352,12,10,-36,2,45606,821,26.3093788,73.0816078,0.006090134,Romney,282,810,285,746,631,1049,380,185,247,203,0.150147929,386531.9569,4502568.534,Mountain
Jefferson,0500000US08059,8059,1979311263,25444831,565230,5838,4398,4608,1440,69698,304114,52.3803574,47.4154429,0.002041997,Obama,115767,348956,72526,265730,271519,377077,79786,156594,79196,47009,0.083167914,478476.4641,4381826.841,FrontRange
Kiowa,0500000US08061,8061,4578597112,47032919,1391,14,22,9,-8,39375,798,14.7869674,84.8370927,0.003759398,Romney,403,750,227,650,730,869,252,171,85,203,0.145938174,697241.519,4256309.36,GreatPlain
Kit Carson,0500000US08063,8063,5596501602,2251930,8239,116,77,153,39,41495,3636,23.0473047,76.5951595,0.003575358,Romney,1801,4183,1323,3741,3566,4946,1551,723,1385,1135,0.137759437,706687.703,4353430.954,GreatPlain
Larimer,0500000US08069,8069,6723986975,98048035,332832,3448,2246,7501,1202,58844,175596,52.8184013,46.9122303,0.002693683,Obama,64316,199368,39270,150749,152205,199460,36874,88541,32635,41375,0.124311965,461053.9542,4501804.483,Mountain
Las Animas,0500000US08071,8071,12361209113,6929970,14038,125,178,32,-53,45707,6724,51.2343843,48.5276621,0.002379536,Obama,2931,8429,2858,7184,7034,10130,2824,1872,6065,2323,0.165479413,585150.4552,4130428.659,Mountain
Lincoln,0500000US08073,8073,6676208039,22780366,5549,69,66,35,3,43701,2248,24.5551601,75.044484,0.004003559,Romney,968,1971,867,1641,2165,2562,845,656,151,620,0.111731844,628651.8862,4316386.569,GreatPlain
Logan,0500000US08075,8075,4761983526,16363553,22112,219,186,-16,33,41749,8936,30.3491495,69.1472695,0.00503581,Romney,4240,13922,3366,11750,9778,14553,4848,2386,3373,3630,0.164164255,659611.7831,4509902.71,GreatPlain
Mesa,0500000US08077,8077,8621965147,31428362,149249,1826,1492,465,334,48610,71515,33.3440537,66.3804796,0.002754667,Romney,33261,87913,22881,71628,72427,97737,29210,24830,19639,22726,0.152269027,199747.1119,4324514.56,WestSlope
Mineral,0500000US08079,8079,2268152612,5222161,728,6,7,33,-1,47986,636,45.754717,54.0880503,0.001572327,Romney,41,389,274,351,353,652,150,257,19,48,0.065934066,330304.2142,4170797.861,WestSlope
